IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",1,"1950",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.859551
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",2,"1951",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.826933
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",3,"1952",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.014245
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",4,"1953",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.936585
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",5,"1954",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.00981
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",6,"1955",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.011502
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",7,"1956",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.939336
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",8,"1957",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.076429
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",9,"1958",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.934971
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",10,"1959",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.740727
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",11,"1960",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.695495
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",12,"1961",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.573545
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",13,"1962",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.030083
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",14,"1963",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.316895
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",15,"1964",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.133161
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",16,"1965",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",5.080546
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",17,"1966",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.963405
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",18,"1967",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.855685
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",19,"1968",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.96274
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",20,"1969",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.867361
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",21,"1970",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.827882
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",22,"1971",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.681745
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",23,"1972",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.546842
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",24,"1973",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.420555
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",25,"1974",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.264785
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",26,"1975",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",4.083541
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",27,"1976",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.97744
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",28,"1977",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.852282
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",29,"1978",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.790434
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",30,"1979",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.776306
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",31,"1980",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.74975
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",32,"1981",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.715702
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",33,"1982",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.71291
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",34,"1983",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.577799
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",35,"1984",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.551627
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",36,"1985",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.515103
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",37,"1986",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.504961
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",38,"1987",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.480232
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",39,"1988",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.390613
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",40,"1989",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.345624
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",41,"1990",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.307799
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.127217
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",3.041084
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.975779
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.92623
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.877871
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.832978
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.793813
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.757784
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.730212
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.734497
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.700158
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.67225
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.647133
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.636294
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.619231
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.611505
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.612322
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.613082
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.605034
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.586875
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.572949
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",63,"2012",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.590373
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",64,"2013",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.560442
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",65,"2014",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.552875
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",66,"2015",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.524027
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",67,"2016",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.525623
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",68,"2017",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.504226
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",69,"2018",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.443279
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",70,"2019",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.406161
19,"Total fertility rate","Total fertility rate","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",71,"2020",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",2.348524
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",1,"1950",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",46.4643
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",2,"1951",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",47.144
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2022,"United Nations Population Division",900,"World","1W","WLD",3,"1952",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",48.2311
